(434.881286, 432.209886) 	 4451 	 IT=116;116 
(434.881286, 432.209886) 	 4465 	 IT=98;116 
(434.881286, 432.209886) 	 4480 	 IT=36;116 
(434.881286, 432.209886) 	 4493 	 IT=23;116 
(434.881286, 432.209886) 	 4507 	 IT=23;116 
(434.881286, 432.209886) 	 4521 	 IT=23;116 
(434.881286, 432.209886) 	 4535 	 IT=33;116 
(434.881286, 432.209886) 	 4549 	 IT=43;116 
(434.881286, 432.209886) 	 4563 	 IT=50;116 
(434.881286, 432.209886) 	 4577 	 IT=65;116 
(434.881286, 432.209886) 	 4591 	 IT=82;116 
(434.881286, 432.209886) 	 4605 	 IT=97;116 
(434.881286, 432.209886) 	 4619 	 IT=116;116 
(434.881286, 432.209886) 	 4633 	 IT=116;116 
(434.881286, 432.209886) 	 4647 	 IT=116;116 
(434.881286, 432.209886) 	 4660 	 IT=116;116 
(434.881286, 432.209886) 	 4675 	 IT=116;116 
(434.881286, 432.209886) 	 4689 	 IT=116;116 
(434.881286, 432.209886) 	 4703 	 IT=116;116 
(434.881286, 432.209886) 	 4717 	 IT=116;116 
(434.881286, 432.209886) 	 4731 	 IT=116;116 
(434.881286, 432.209886) 	 4745 	 IT=116;116 
(434.881286, 432.209886) 	 4759 	 IT=116;116 
(434.881286, 432.209886) 	 4773 	 IT=116;116 
(560.267902, 556.260803) 	 4826 	 IT=116;116 
(560.267902, 556.260803) 	 4840 	 IT=116;116 
(560.267902, 556.260803) 	 4854 	 IT=116;116 
(560.267902, 556.260803) 	 4868 	 IT=116;116 
(560.267902, 556.260803) 	 4882 	 IT=116;116 
(560.267902, 556.260803) 	 4896 	 IT=80;116 
(560.267902, 556.260803) 	 4910 	 IT=50;116 
(560.267902, 556.260803) 	 4924 	 IT=43;116 
(560.267902, 556.260803) 	 4939 	 IT=42;116 
(560.267902, 556.260803) 	 4954 	 IT=53;116 
(560.267902, 556.260803) 	 4969 	 IT=59;116 
(560.267902, 556.260803) 	 4984 	 IT=87;116 
(560.267902, 556.260803) 	 4999 	 IT=116;116 
(560.267902, 556.260803) 	 5014 	 IT=116;116 
(560.267902, 556.260803) 	 5030 	 IT=116;116 
(560.267902, 556.260803) 	 5047 	 IT=116;116 
(560.267902, 556.260803) 	 5063 	 IT=116;116 
(560.267902, 556.260803) 	 5081 	 IT=116;116 
(560.267902, 556.260803) 	 5098 	 IT=116;116 
(560.267902, 556.260803) 	 5115 	 IT=116;116 
(560.267902, 556.260803) 	 5132 	 IT=116;116 
(560.267902, 556.260803) 	 5148 	 IT=116;116 
(560.267902, 556.260803) 	 5165 	 IT=116;116 
(560.267902, 556.260803) 	 5182 	 IT=116;116 
(560.267902, 556.260803) 	 5199 	 IT=116;116 
(560.267902, 556.260803) 	 5216 	 IT=116;116 
(560.267902, 556.260803) 	 5234 	 IT=116;116 
(560.267902, 556.260803) 	 5251 	 IT=116;116 
(560.267902, 556.260803) 	 5270 	 IT=116;116 
(560.267902, 556.260803) 	 5289 	 IT=116;116 
(560.267902, 556.260803) 	 5306 	 IT=116;116 
(560.267902, 556.260803) 	 5323 	 IT=116;116 
(560.267902, 556.260803) 	 5340 	 IT=116;116 
(709.284578, 705.277478) 	 4938 	 IT=116;116 
(709.284578, 705.277478) 	 4953 	 IT=116;116 
(709.284578, 705.277478) 	 4968 	 IT=116;116 
(709.284578, 705.277478) 	 4983 	 IT=116;116 
(709.284578, 705.277478) 	 4998 	 IT=116;116 
(709.284578, 705.277478) 	 5013 	 IT=102;116 
(709.284578, 705.277478) 	 5028 	 IT=92;116 
(709.284578, 705.277478) 	 5044 	 IT=74;116 
(709.284578, 705.277478) 	 5061 	 IT=95;116 
(709.284578, 705.277478) 	 5078 	 IT=85;116 
(709.284578, 705.277478) 	 5095 	 IT=100;116 
(709.284578, 705.277478) 	 5112 	 IT=116;116 
(709.284578, 705.277478) 	 5129 	 IT=116;116 
(709.284578, 705.277478) 	 5145 	 IT=116;116 
(709.284578, 705.277478) 	 5162 	 IT=116;116 
(709.284578, 705.277478) 	 5179 	 IT=116;116 
(709.284578, 705.277478) 	 5196 	 IT=116;116 
(709.284578, 705.277478) 	 5213 	 IT=116;116 
(709.284578, 705.277478) 	 5231 	 IT=116;116 
(709.284578, 705.277478) 	 5248 	 IT=116;116 
(564.739087, 559.734952) 	 5267 	 IT=116;116 
(564.739087, 559.734952) 	 5286 	 IT=115;116 
(564.739087, 559.734952) 	 5304 	 IT=116;116 
(564.739087, 559.734952) 	 5321 	 IT=116;116 
(564.739087, 559.734952) 	 5338 	 IT=116;116 
(564.739087, 559.734952) 	 5355 	 IT=116;116 
(564.739087, 559.734952) 	 5371 	 IT=116;116 
(564.739087, 559.734952) 	 5402 	 IT=116;116 
(367.931562, 365.429495) 	 5079 	 IT=116;116 
(367.931562, 365.429495) 	 5096 	 IT=89;116 
(367.931562, 365.429495) 	 5113 	 IT=28;116 
(367.931562, 365.429495) 	 5130 	 IT=16;116 
(367.931562, 365.429495) 	 5146 	 IT=7.2;116 
(367.931562, 365.429495) 	 5163 	 IT=5.6;116 
(367.931562, 365.429495) 	 5180 	 IT=6.6;116 
(367.931562, 365.429495) 	 5197 	 IT=9.7;116 
(367.931562, 365.429495) 	 5214 	 IT=20;116 
(367.931562, 365.429495) 	 5232 	 IT=25;116 
(367.931562, 365.429495) 	 5249 	 IT=35;116 
(367.931562, 365.429495) 	 5266 	 IT=47;116 
(367.931562, 365.429495) 	 5285 	 IT=63;116 
(367.931562, 365.429495) 	 5303 	 IT=97;116 
(367.931562, 365.429495) 	 5320 	 IT=101;116 
(367.931562, 365.429495) 	 5337 	 IT=98;116 
(367.931562, 365.429495) 	 5354 	 IT=104;116 
(367.931562, 365.429495) 	 5370 	 IT=116;116 
(367.931562, 365.429495) 	 5386 	 IT=116;116 
(367.931562, 365.429495) 	 5401 	 IT=116;116 
(367.931562, 365.429495) 	 5417 	 IT=116;116 
(367.931562, 365.429495) 	 5432 	 IT=116;116 
(367.931562, 365.429495) 	 5447 	 IT=116;116 
(367.931562, 365.429495) 	 5462 	 IT=116;116 
(367.931562, 365.429495) 	 5477 	 IT=116;116 
(367.931562, 365.429495) 	 5492 	 IT=116;116 
(367.931562, 365.429495) 	 5507 	 IT=116;116 
(367.931562, 365.429495) 	 5522 	 IT=116;116 
(367.931562, 365.429495) 	 5537 	 IT=116;116 
(367.931562, 365.429495) 	 5552 	 IT=116;116 
(367.931562, 365.429495) 	 5567 	 IT=116;116 
(367.931562, 365.429495) 	 5582 	 IT=116;116 
(367.931562, 365.429495) 	 5599 	 IT=116;116 
(367.931562, 365.429495) 	 5612 	 IT=116;116 
(367.931562, 365.429495) 	 5627 	 IT=116;116 
(367.931562, 365.429495) 	 5656 	 IT=116;116 
(367.931562, 365.429495) 	 5671 	 IT=116;116 
(367.931562, 365.429495) 	 5686 	 IT=116;116 
(595.2942, 592.622684) 	 5029 	 IT=116;116 
(595.2942, 592.622684) 	 5046 	 IT=104;116 
(595.2942, 592.622684) 	 5062 	 IT=24;116 
(595.2942, 592.622684) 	 5080 	 IT=16;116 
(595.2942, 592.622684) 	 5097 	 IT=27;116 
(595.2942, 592.622684) 	 5114 	 IT=64;116 
(595.2942, 592.622684) 	 5131 	 IT=78;116 
(595.2942, 592.622684) 	 5147 	 IT=115;116 
(595.2942, 592.622684) 	 5164 	 IT=116;116 
(595.2942, 592.622684) 	 5181 	 IT=116;116 
(595.2942, 592.622684) 	 5198 	 IT=116;116 
(595.2942, 592.622684) 	 5215 	 IT=116;116 
(595.2942, 592.622684) 	 5233 	 IT=116;116 
(595.2942, 592.622684) 	 5250 	 IT=116;116 
(595.2942, 592.622684) 	 5268 	 IT=116;116 
(595.2942, 592.622684) 	 5287 	 IT=116;116 
(462.209402, 459.538003) 	 5269 	 IT=116;116 
(462.209402, 459.538003) 	 5288 	 IT=116;116 
(462.209402, 459.538003) 	 5305 	 IT=116;116 
(462.209402, 459.538003) 	 5322 	 IT=116;116 
(462.209402, 459.538003) 	 5339 	 IT=116;116 
(462.209402, 459.538003) 	 5356 	 IT=103;116 
(462.209402, 459.538003) 	 5372 	 IT=46;116 
(462.209402, 459.538003) 	 5387 	 IT=25;116 
(462.209402, 459.538003) 	 5403 	 IT=20;116 
(462.209402, 459.538003) 	 5418 	 IT=13;116 
(462.209402, 459.538003) 	 5433 	 IT=8.8;116 
(462.209402, 459.538003) 	 5448 	 IT=8.7;116 
(462.209402, 459.538003) 	 5463 	 IT=8.9;116 
(462.209402, 459.538003) 	 5478 	 IT=9.4;116 
(462.209402, 459.538003) 	 5493 	 IT=12;116 
(462.209402, 459.538003) 	 5508 	 IT=13;116 
(462.209402, 459.538003) 	 5523 	 IT=15;116 
(462.209402, 459.538003) 	 5538 	 IT=16;116 
(462.209402, 459.538003) 	 5553 	 IT=19;116 
(462.209402, 459.538003) 	 5568 	 IT=21;116 
(462.209402, 459.538003) 	 5583 	 IT=21;116 
(462.209402, 459.538003) 	 5600 	 IT=23;116 
(462.209402, 459.538003) 	 5613 	 IT=27;116 
(462.209402, 459.538003) 	 5628 	 IT=26;116 
(462.209402, 459.538003) 	 5642 	 IT=31;116 
(462.209402, 459.538003) 	 5657 	 IT=32;116 
(462.209402, 459.538003) 	 5672 	 IT=33;116 
(462.209402, 459.538003) 	 5700 	 IT=34;116 
(462.209402, 459.538003) 	 5714 	 IT=38;116 
(462.209402, 459.538003) 	 5728 	 IT=42;116 
(462.209402, 459.538003) 	 5742 	 IT=47;116 
(462.209402, 459.538003) 	 5756 	 IT=48;116 
