(434.881286, 432.209886) 	 4425 	 IT=116;116 
(434.881286, 432.209886) 	 4439 	 IT=116;116 
(434.881286, 432.209886) 	 4453 	 IT=41;116 
(434.881286, 432.209886) 	 4467 	 IT=23;116 
(434.881286, 432.209886) 	 4481 	 IT=18;116 
(434.881286, 432.209886) 	 4495 	 IT=20;116 
(434.881286, 432.209886) 	 4509 	 IT=31;116 
(434.881286, 432.209886) 	 4523 	 IT=44;116 
(434.881286, 432.209886) 	 4537 	 IT=61;116 
(434.881286, 432.209886) 	 4551 	 IT=86;116 
(434.881286, 432.209886) 	 4565 	 IT=94;116 
(434.881286, 432.209886) 	 4579 	 IT=110;116 
(434.881286, 432.209886) 	 4593 	 IT=116;116 
(434.881286, 432.209886) 	 4607 	 IT=116;116 
(434.881286, 432.209886) 	 4621 	 IT=116;116 
(434.881286, 432.209886) 	 4635 	 IT=116;116 
(434.881286, 432.209886) 	 4649 	 IT=116;116 
(434.881286, 432.209886) 	 4663 	 IT=116;116 
(434.881286, 432.209886) 	 4677 	 IT=116;116 
(434.881286, 432.209886) 	 4691 	 IT=116;116 
(434.881286, 432.209886) 	 4705 	 IT=116;116 
(434.881286, 432.209886) 	 4719 	 IT=116;116 
(434.881286, 432.209886) 	 4733 	 IT=116;116 
(434.881286, 432.209886) 	 4747 	 IT=116;116 
(434.881286, 432.209886) 	 4761 	 IT=116;116 
(434.881286, 432.209886) 	 4775 	 IT=116;116 
(560.267902, 556.260803) 	 4789 	 IT=116;116 
(560.267902, 556.260803) 	 4803 	 IT=116;116 
(560.267902, 556.260803) 	 4817 	 IT=116;116 
(560.267902, 556.260803) 	 4831 	 IT=64;116 
(560.267902, 556.260803) 	 4845 	 IT=45;116 
(560.267902, 556.260803) 	 4859 	 IT=29;116 
(560.267902, 556.260803) 	 4873 	 IT=24;116 
(560.267902, 556.260803) 	 4888 	 IT=23;116 
(560.267902, 556.260803) 	 4903 	 IT=27;116 
(560.267902, 556.260803) 	 4918 	 IT=37;116 
(560.267902, 556.260803) 	 4933 	 IT=51;116 
(560.267902, 556.260803) 	 4951 	 IT=74;116 
(560.267902, 556.260803) 	 4967 	 IT=114;116 
(560.267902, 556.260803) 	 4984 	 IT=116;116 
(560.267902, 556.260803) 	 5000 	 IT=116;116 
(560.267902, 556.260803) 	 5016 	 IT=116;116 
(560.267902, 556.260803) 	 5033 	 IT=116;116 
(560.267902, 556.260803) 	 5050 	 IT=116;116 
(560.267902, 556.260803) 	 5067 	 IT=116;116 
(560.267902, 556.260803) 	 5085 	 IT=116;116 
(560.267902, 556.260803) 	 5102 	 IT=116;116 
(560.267902, 556.260803) 	 5118 	 IT=116;116 
(560.267902, 556.260803) 	 5136 	 IT=116;116 
(560.267902, 556.260803) 	 5152 	 IT=116;116 
(560.267902, 556.260803) 	 5169 	 IT=116;116 
(560.267902, 556.260803) 	 5188 	 IT=116;116 
(560.267902, 556.260803) 	 5205 	 IT=116;116 
(560.267902, 556.260803) 	 5223 	 IT=116;116 
(560.267902, 556.260803) 	 5241 	 IT=116;116 
(560.267902, 556.260803) 	 5258 	 IT=116;116 
(560.267902, 556.260803) 	 5276 	 IT=116;116 
(560.267902, 556.260803) 	 5293 	 IT=116;116 
(560.267902, 556.260803) 	 5311 	 IT=116;116 
(709.284578, 705.277478) 	 4887 	 IT=116;116 
(709.284578, 705.277478) 	 4902 	 IT=116;116 
(709.284578, 705.277478) 	 4917 	 IT=116;116 
(709.284578, 705.277478) 	 4932 	 IT=116;116 
(709.284578, 705.277478) 	 4948 	 IT=116;116 
(709.284578, 705.277478) 	 4964 	 IT=108;116 
(709.284578, 705.277478) 	 4982 	 IT=84;116 
(709.284578, 705.277478) 	 4998 	 IT=76;116 
(709.284578, 705.277478) 	 5013 	 IT=78;116 
(709.284578, 705.277478) 	 5030 	 IT=92;116 
(709.284578, 705.277478) 	 5047 	 IT=116;116 
(709.284578, 705.277478) 	 5064 	 IT=116;116 
(709.284578, 705.277478) 	 5082 	 IT=116;116 
(709.284578, 705.277478) 	 5099 	 IT=116;116 
(709.284578, 705.277478) 	 5115 	 IT=116;116 
(709.284578, 705.277478) 	 5133 	 IT=116;116 
(709.284578, 705.277478) 	 5150 	 IT=116;116 
(709.284578, 705.277478) 	 5166 	 IT=116;116 
(709.284578, 705.277478) 	 5184 	 IT=116;116 
(709.284578, 705.277478) 	 5202 	 IT=116;116 
(709.284578, 705.277478) 	 5254 	 IT=116;116 
(709.284578, 705.277478) 	 5272 	 IT=116;116 
(709.284578, 705.277478) 	 5307 	 IT=116;116 
(709.284578, 705.277478) 	 5325 	 IT=116;116 
(709.284578, 705.277478) 	 5356 	 IT=116;116 
(564.739087, 559.734952) 	 5186 	 IT=116;116 
(564.739087, 559.734952) 	 5204 	 IT=75;116 
(564.739087, 559.734952) 	 5221 	 IT=60;116 
(564.739087, 559.734952) 	 5239 	 IT=63;116 
(564.739087, 559.734952) 	 5256 	 IT=77;116 
(564.739087, 559.734952) 	 5274 	 IT=108;116 
(564.739087, 559.734952) 	 5291 	 IT=115;116 
(564.739087, 559.734952) 	 5309 	 IT=116;116 
(564.739087, 559.734952) 	 5326 	 IT=116;116 
(564.739087, 559.734952) 	 5342 	 IT=116;116 
