(367.931562, 365.429495) 	 5476 	 IT=116;116 
(367.931562, 365.429495) 	 5519 	 IT=116;116 
(367.931562, 365.429495) 	 5548 	 IT=116;116 
(367.931562, 365.429495) 	 5563 	 IT=116;116 
(595.2942, 592.622684) 	 4870 	 IT=116;116 
(595.2942, 592.622684) 	 4887 	 IT=59;116 
(595.2942, 592.622684) 	 4905 	 IT=17;116 
(595.2942, 592.622684) 	 4922 	 IT=18;116 
(595.2942, 592.622684) 	 4939 	 IT=31;116 
(595.2942, 592.622684) 	 4955 	 IT=63;116 
(595.2942, 592.622684) 	 4972 	 IT=87;116 
(595.2942, 592.622684) 	 4990 	 IT=116;116 
(595.2942, 592.622684) 	 5006 	 IT=116;116 
(595.2942, 592.622684) 	 5023 	 IT=116;116 
(595.2942, 592.622684) 	 5040 	 IT=116;116 
(595.2942, 592.622684) 	 5057 	 IT=116;116 
(595.2942, 592.622684) 	 5074 	 IT=116;116 
(595.2942, 592.622684) 	 5110 	 IT=116;116 
(462.209402, 459.538003) 	 5075 	 IT=116;116 
(462.209402, 459.538003) 	 5094 	 IT=116;116 
(462.209402, 459.538003) 	 5111 	 IT=116;116 
(462.209402, 459.538003) 	 5128 	 IT=116;116 
(462.209402, 459.538003) 	 5146 	 IT=116;116 
(462.209402, 459.538003) 	 5161 	 IT=101;116 
(462.209402, 459.538003) 	 5176 	 IT=71;116 
(462.209402, 459.538003) 	 5192 	 IT=41;116 
(462.209402, 459.538003) 	 5207 	 IT=22;116 
(462.209402, 459.538003) 	 5223 	 IT=17;116 
(462.209402, 459.538003) 	 5238 	 IT=11;116 
(462.209402, 459.538003) 	 5253 	 IT=9.5;116 
(462.209402, 459.538003) 	 5268 	 IT=10;116 
(462.209402, 459.538003) 	 5283 	 IT=12;116 
(462.209402, 459.538003) 	 5298 	 IT=13;116 
(462.209402, 459.538003) 	 5313 	 IT=16;116 
(462.209402, 459.538003) 	 5328 	 IT=16;116 
(462.209402, 459.538003) 	 5343 	 IT=18;116 
(462.209402, 459.538003) 	 5358 	 IT=20;116 
(462.209402, 459.538003) 	 5373 	 IT=20;116 
(462.209402, 459.538003) 	 5387 	 IT=24;116 
(462.209402, 459.538003) 	 5402 	 IT=27;116 
(462.209402, 459.538003) 	 5417 	 IT=29;116 
(462.209402, 459.538003) 	 5432 	 IT=28;116 
(462.209402, 459.538003) 	 5447 	 IT=32;116 
(462.209402, 459.538003) 	 5462 	 IT=30;116 
(462.209402, 459.538003) 	 5477 	 IT=35;116 
(462.209402, 459.538003) 	 5491 	 IT=39;116 
(462.209402, 459.538003) 	 5505 	 IT=39;116 
(462.209402, 459.538003) 	 5520 	 IT=42;116 
(462.209402, 459.538003) 	 5534 	 IT=45;116 
(462.209402, 459.538003) 	 5549 	 IT=54;116 
(462.209402, 459.538003) 	 5564 	 IT=53;116 
(462.209402, 459.538003) 	 5578 	 IT=49;116 
(462.209402, 459.538003) 	 5592 	 IT=54;116 
(462.209402, 459.538003) 	 5606 	 IT=54;116 
(462.209402, 459.538003) 	 5620 	 IT=60;116 
(462.209402, 459.538003) 	 5634 	 IT=64;116 
(462.209402, 459.538003) 	 5648 	 IT=63;116 
(462.209402, 459.538003) 	 5662 	 IT=78;116 
(462.209402, 459.538003) 	 5676 	 IT=74;116 
(462.209402, 459.538003) 	 5690 	 IT=70;116 
(462.209402, 459.538003) 	 5704 	 IT=80;116 
(462.209402, 459.538003) 	 5718 	 IT=83;116 
(462.209402, 459.538003) 	 5732 	 IT=83;116 
(462.209402, 459.538003) 	 5746 	 IT=86;116 
(462.209402, 459.538003) 	 5760 	 IT=99;116 
(462.209402, 459.538003) 	 5774 	 IT=94;116 
(462.209402, 459.538003) 	 5788 	 IT=113;116 
(462.209402, 459.538003) 	 5802 	 IT=115;116 
