(434.881286, 432.209886) 	 4520 	 IT=116;116 
(434.881286, 432.209886) 	 4534 	 IT=116;116 
(434.881286, 432.209886) 	 4548 	 IT=39;116 
(434.881286, 432.209886) 	 4562 	 IT=10;116 
(434.881286, 432.209886) 	 4576 	 IT=8.9;116 
(434.881286, 432.209886) 	 4590 	 IT=8.6;116 
(434.881286, 432.209886) 	 4606 	 IT=12;116 
(434.881286, 432.209886) 	 4618 	 IT=18;116 
(434.881286, 432.209886) 	 4632 	 IT=27;116 
(434.881286, 432.209886) 	 4646 	 IT=40;116 
(434.881286, 432.209886) 	 4660 	 IT=55;116 
(434.881286, 432.209886) 	 4674 	 IT=63;116 
(434.881286, 432.209886) 	 4688 	 IT=69;116 
(434.881286, 432.209886) 	 4702 	 IT=76;116 
(434.881286, 432.209886) 	 4716 	 IT=69;116 
(434.881286, 432.209886) 	 4730 	 IT=71;116 
(434.881286, 432.209886) 	 4744 	 IT=91;116 
(434.881286, 432.209886) 	 4758 	 IT=90;116 
(434.881286, 432.209886) 	 4772 	 IT=116;116 
(434.881286, 432.209886) 	 4786 	 IT=116;116 
(434.881286, 432.209886) 	 4800 	 IT=116;116 
(434.881286, 432.209886) 	 4814 	 IT=116;116 
(560.267902, 556.260803) 	 4815 	 IT=116;116 
(560.267902, 556.260803) 	 4829 	 IT=116;116 
(560.267902, 556.260803) 	 4843 	 IT=116;116 
(560.267902, 556.260803) 	 4857 	 IT=61;116 
(560.267902, 556.260803) 	 4871 	 IT=33;116 
(560.267902, 556.260803) 	 4885 	 IT=21;116 
(560.267902, 556.260803) 	 4900 	 IT=17;116 
(560.267902, 556.260803) 	 4915 	 IT=17;116 
(560.267902, 556.260803) 	 4930 	 IT=23;116 
(560.267902, 556.260803) 	 4945 	 IT=31;116 
(560.267902, 556.260803) 	 4960 	 IT=43;116 
(560.267902, 556.260803) 	 4978 	 IT=86;116 
(560.267902, 556.260803) 	 4993 	 IT=106;116 
(560.267902, 556.260803) 	 5009 	 IT=116;116 
(560.267902, 556.260803) 	 5026 	 IT=116;116 
(560.267902, 556.260803) 	 5042 	 IT=116;116 
(560.267902, 556.260803) 	 5058 	 IT=116;116 
(560.267902, 556.260803) 	 5074 	 IT=116;116 
(560.267902, 556.260803) 	 5090 	 IT=116;116 
(560.267902, 556.260803) 	 5106 	 IT=116;116 
(560.267902, 556.260803) 	 5120 	 IT=116;116 
(560.267902, 556.260803) 	 5139 	 IT=116;116 
(560.267902, 556.260803) 	 5157 	 IT=116;116 
(560.267902, 556.260803) 	 5175 	 IT=116;116 
(560.267902, 556.260803) 	 5193 	 IT=116;116 
(560.267902, 556.260803) 	 5212 	 IT=116;116 
(560.267902, 556.260803) 	 5228 	 IT=116;116 
(560.267902, 556.260803) 	 5246 	 IT=116;116 
(560.267902, 556.260803) 	 5262 	 IT=116;116 
(560.267902, 556.260803) 	 5280 	 IT=116;116 
(560.267902, 556.260803) 	 5296 	 IT=116;116 
(560.267902, 556.260803) 	 5312 	 IT=116;116 
(560.267902, 556.260803) 	 5329 	 IT=116;116 
(709.284578, 705.277478) 	 4899 	 IT=116;116 
(709.284578, 705.277478) 	 4914 	 IT=116;116 
(709.284578, 705.277478) 	 4929 	 IT=116;116 
(709.284578, 705.277478) 	 4944 	 IT=105;116 
(709.284578, 705.277478) 	 4959 	 IT=94;116 
(709.284578, 705.277478) 	 4975 	 IT=73;116 
(709.284578, 705.277478) 	 4991 	 IT=65;116 
(709.284578, 705.277478) 	 5007 	 IT=58;116 
(709.284578, 705.277478) 	 5023 	 IT=60;116 
(709.284578, 705.277478) 	 5040 	 IT=61;116 
(709.284578, 705.277478) 	 5056 	 IT=76;116 
(709.284578, 705.277478) 	 5072 	 IT=95;116 
(709.284578, 705.277478) 	 5088 	 IT=95;116 
(709.284578, 705.277478) 	 5104 	 IT=116;116 
(709.284578, 705.277478) 	 5118 	 IT=116;116 
(709.284578, 705.277478) 	 5136 	 IT=116;116 
(709.284578, 705.277478) 	 5154 	 IT=116;116 
(709.284578, 705.277478) 	 5172 	 IT=116;116 
(709.284578, 705.277478) 	 5190 	 IT=116;116 
(709.284578, 705.277478) 	 5208 	 IT=116;116 
(709.284578, 705.277478) 	 5243 	 IT=116;116 
(709.284578, 705.277478) 	 5259 	 IT=116;116 
(709.284578, 705.277478) 	 5277 	 IT=116;116 
(709.284578, 705.277478) 	 5293 	 IT=116;116 
(564.739087, 559.734952) 	 5209 	 IT=116;116 
(564.739087, 559.734952) 	 5226 	 IT=77;116 
(564.739087, 559.734952) 	 5244 	 IT=36;116 
(564.739087, 559.734952) 	 5260 	 IT=41;116 
(564.739087, 559.734952) 	 5278 	 IT=56;116 
(564.739087, 559.734952) 	 5294 	 IT=63;116 
(564.739087, 559.734952) 	 5310 	 IT=96;116 
(564.739087, 559.734952) 	 5327 	 IT=116;116 
(564.739087, 559.734952) 	 5345 	 IT=116;116 
(564.739087, 559.734952) 	 5360 	 IT=116;116 
(564.739087, 559.734952) 	 5376 	 IT=116;116 
(564.739087, 559.734952) 	 5392 	 IT=116;116 
(367.931562, 365.429495) 	 5326 	 IT=116;116 
(367.931562, 365.429495) 	 5344 	 IT=32;116 
(367.931562, 365.429495) 	 5359 	 IT=9.6;116 
(367.931562, 365.429495) 	 5375 	 IT=5.1;116 
(367.931562, 365.429495) 	 5391 	 IT=4;116 
(367.931562, 365.429495) 	 5409 	 IT=4;116 
(367.931562, 365.429495) 	 5425 	 IT=4.3;116 
(367.931562, 365.429495) 	 5441 	 IT=4.9;116 
(367.931562, 365.429495) 	 5456 	 IT=7.2;116 
