(434.881286, 432.209886) 	 4448 	 IT=116;116 
(434.881286, 432.209886) 	 4462 	 IT=86;116 
(434.881286, 432.209886) 	 4476 	 IT=32;116 
(434.881286, 432.209886) 	 4490 	 IT=19;116 
(434.881286, 432.209886) 	 4504 	 IT=13;116 
(434.881286, 432.209886) 	 4518 	 IT=19;116 
(434.881286, 432.209886) 	 4532 	 IT=22;116 
(434.881286, 432.209886) 	 4546 	 IT=30;116 
(434.881286, 432.209886) 	 4560 	 IT=42;116 
(434.881286, 432.209886) 	 4574 	 IT=52;116 
(434.881286, 432.209886) 	 4588 	 IT=69;116 
(434.881286, 432.209886) 	 4602 	 IT=76;116 
(434.881286, 432.209886) 	 4616 	 IT=103;116 
(434.881286, 432.209886) 	 4630 	 IT=105;116 
(434.881286, 432.209886) 	 4644 	 IT=116;116 
(434.881286, 432.209886) 	 4658 	 IT=116;116 
(434.881286, 432.209886) 	 4672 	 IT=116;116 
(434.881286, 432.209886) 	 4686 	 IT=116;116 
(434.881286, 432.209886) 	 4700 	 IT=116;116 
(434.881286, 432.209886) 	 4714 	 IT=116;116 
(434.881286, 432.209886) 	 4728 	 IT=116;116 
(434.881286, 432.209886) 	 4742 	 IT=116;116 
(434.881286, 432.209886) 	 4756 	 IT=116;116 
(434.881286, 432.209886) 	 4770 	 IT=116;116 
(434.881286, 432.209886) 	 4784 	 IT=116;116 
(434.881286, 432.209886) 	 4798 	 IT=116;116 
(560.267902, 556.260803) 	 4799 	 IT=116;116 
(560.267902, 556.260803) 	 4813 	 IT=116;116 
(560.267902, 556.260803) 	 4827 	 IT=116;116 
(560.267902, 556.260803) 	 4841 	 IT=78;116 
(560.267902, 556.260803) 	 4855 	 IT=43;116 
(560.267902, 556.260803) 	 4869 	 IT=33;116 
(560.267902, 556.260803) 	 4882 	 IT=28;116 
(560.267902, 556.260803) 	 4899 	 IT=29;116 
(560.267902, 556.260803) 	 4914 	 IT=40;116 
(560.267902, 556.260803) 	 4929 	 IT=53;116 
(560.267902, 556.260803) 	 4944 	 IT=83;116 
(560.267902, 556.260803) 	 4959 	 IT=87;116 
(560.267902, 556.260803) 	 4977 	 IT=112;116 
(560.267902, 556.260803) 	 4993 	 IT=116;116 
(560.267902, 556.260803) 	 5010 	 IT=116;116 
(560.267902, 556.260803) 	 5026 	 IT=116;116 
(560.267902, 556.260803) 	 5042 	 IT=116;116 
(560.267902, 556.260803) 	 5058 	 IT=116;116 
(560.267902, 556.260803) 	 5075 	 IT=116;116 
(560.267902, 556.260803) 	 5091 	 IT=116;116 
(560.267902, 556.260803) 	 5109 	 IT=116;116 
(560.267902, 556.260803) 	 5126 	 IT=116;116 
(560.267902, 556.260803) 	 5141 	 IT=116;116 
(560.267902, 556.260803) 	 5160 	 IT=116;116 
(560.267902, 556.260803) 	 5177 	 IT=116;116 
(560.267902, 556.260803) 	 5196 	 IT=116;116 
(560.267902, 556.260803) 	 5213 	 IT=116;116 
(560.267902, 556.260803) 	 5230 	 IT=116;116 
(560.267902, 556.260803) 	 5248 	 IT=116;116 
(560.267902, 556.260803) 	 5265 	 IT=116;116 
(709.284578, 705.277478) 	 4881 	 IT=116;116 
(709.284578, 705.277478) 	 4898 	 IT=116;116 
(709.284578, 705.277478) 	 4913 	 IT=116;116 
(709.284578, 705.277478) 	 4928 	 IT=116;116 
(709.284578, 705.277478) 	 4943 	 IT=116;116 
(709.284578, 705.277478) 	 4958 	 IT=111;116 
(709.284578, 705.277478) 	 4974 	 IT=87;116 
(709.284578, 705.277478) 	 4990 	 IT=59;116 
(709.284578, 705.277478) 	 5008 	 IT=71;116 
(709.284578, 705.277478) 	 5024 	 IT=72;116 
(709.284578, 705.277478) 	 5039 	 IT=90;116 
(709.284578, 705.277478) 	 5056 	 IT=109;116 
(709.284578, 705.277478) 	 5073 	 IT=116;116 
(709.284578, 705.277478) 	 5088 	 IT=116;116 
(709.284578, 705.277478) 	 5106 	 IT=116;116 
(709.284578, 705.277478) 	 5123 	 IT=116;116 
(709.284578, 705.277478) 	 5139 	 IT=116;116 
(709.284578, 705.277478) 	 5157 	 IT=116;116 
(709.284578, 705.277478) 	 5174 	 IT=116;116 
(709.284578, 705.277478) 	 5193 	 IT=116;116 
(564.739087, 559.734952) 	 5210 	 IT=97;116 
(564.739087, 559.734952) 	 5228 	 IT=68;116 
(564.739087, 559.734952) 	 5246 	 IT=66;116 
(564.739087, 559.734952) 	 5263 	 IT=80;116 
(564.739087, 559.734952) 	 5280 	 IT=113;116 
(564.739087, 559.734952) 	 5295 	 IT=114;116 
(564.739087, 559.734952) 	 5311 	 IT=116;116 
(564.739087, 559.734952) 	 5327 	 IT=116;116 
(564.739087, 559.734952) 	 5343 	 IT=116;116 
(564.739087, 559.734952) 	 5359 	 IT=116;116 
(564.739087, 559.734952) 	 5375 	 IT=116;116 
(564.739087, 559.734952) 	 5392 	 IT=116;116 
(367.931562, 365.429495) 	 5089 	 IT=100;116 
(367.931562, 365.429495) 	 5107 	 IT=39;116 
(367.931562, 365.429495) 	 5124 	 IT=13;116 
(367.931562, 365.429495) 	 5140 	 IT=5.8;116 
(367.931562, 365.429495) 	 5158 	 IT=5.6;116 
(367.931562, 365.429495) 	 5175 	 IT=9;116 
(367.931562, 365.429495) 	 5194 	 IT=15;116 
