(434.881286, 432.209886) 	 4424 	 IT=116;116 
(434.881286, 432.209886) 	 4438 	 IT=116;116 
(434.881286, 432.209886) 	 4452 	 IT=68;116 
(434.881286, 432.209886) 	 4466 	 IT=24;116 
(434.881286, 432.209886) 	 4480 	 IT=15;116 
(434.881286, 432.209886) 	 4494 	 IT=14;116 
(434.881286, 432.209886) 	 4508 	 IT=21;116 
(434.881286, 432.209886) 	 4522 	 IT=28;116 
(434.881286, 432.209886) 	 4536 	 IT=38;116 
(434.881286, 432.209886) 	 4550 	 IT=47;116 
(434.881286, 432.209886) 	 4564 	 IT=57;116 
(434.881286, 432.209886) 	 4578 	 IT=75;116 
(434.881286, 432.209886) 	 4590 	 IT=98;116 
(434.881286, 432.209886) 	 4606 	 IT=107;116 
(434.881286, 432.209886) 	 4620 	 IT=116;116 
(434.881286, 432.209886) 	 4634 	 IT=116;116 
(434.881286, 432.209886) 	 4648 	 IT=116;116 
(434.881286, 432.209886) 	 4662 	 IT=116;116 
(434.881286, 432.209886) 	 4676 	 IT=116;116 
(434.881286, 432.209886) 	 4690 	 IT=116;116 
(434.881286, 432.209886) 	 4704 	 IT=116;116 
(434.881286, 432.209886) 	 4718 	 IT=116;116 
(434.881286, 432.209886) 	 4732 	 IT=116;116 
(434.881286, 432.209886) 	 4746 	 IT=116;116 
(434.881286, 432.209886) 	 4760 	 IT=116;116 
(434.881286, 432.209886) 	 4774 	 IT=116;116 
(560.267902, 556.260803) 	 4788 	 IT=116;116 
(560.267902, 556.260803) 	 4802 	 IT=116;116 
(560.267902, 556.260803) 	 4816 	 IT=107;116 
(560.267902, 556.260803) 	 4830 	 IT=58;116 
(560.267902, 556.260803) 	 4844 	 IT=35;116 
(560.267902, 556.260803) 	 4858 	 IT=27;116 
(560.267902, 556.260803) 	 4872 	 IT=22;116 
(560.267902, 556.260803) 	 4887 	 IT=20;116 
(560.267902, 556.260803) 	 4902 	 IT=23;116 
(560.267902, 556.260803) 	 4917 	 IT=38;116 
(560.267902, 556.260803) 	 4932 	 IT=48;116 
(560.267902, 556.260803) 	 4949 	 IT=75;116 
(560.267902, 556.260803) 	 4965 	 IT=89;116 
(560.267902, 556.260803) 	 4983 	 IT=105;116 
(560.267902, 556.260803) 	 4999 	 IT=116;116 
(560.267902, 556.260803) 	 5016 	 IT=116;116 
(560.267902, 556.260803) 	 5032 	 IT=116;116 
(560.267902, 556.260803) 	 5050 	 IT=116;116 
(560.267902, 556.260803) 	 5065 	 IT=116;116 
(560.267902, 556.260803) 	 5082 	 IT=116;116 
(560.267902, 556.260803) 	 5099 	 IT=116;116 
(560.267902, 556.260803) 	 5116 	 IT=116;116 
(560.267902, 556.260803) 	 5133 	 IT=116;116 
(560.267902, 556.260803) 	 5150 	 IT=116;116 
(560.267902, 556.260803) 	 5168 	 IT=116;116 
(560.267902, 556.260803) 	 5186 	 IT=116;116 
(560.267902, 556.260803) 	 5204 	 IT=116;116 
(560.267902, 556.260803) 	 5221 	 IT=116;116 
(560.267902, 556.260803) 	 5238 	 IT=116;116 
(560.267902, 556.260803) 	 5256 	 IT=116;116 
(560.267902, 556.260803) 	 5273 	 IT=116;116 
(560.267902, 556.260803) 	 5290 	 IT=116;116 
(560.267902, 556.260803) 	 5307 	 IT=116;116 
(709.284578, 705.277478) 	 4886 	 IT=116;116 
(709.284578, 705.277478) 	 4901 	 IT=116;116 
(709.284578, 705.277478) 	 4916 	 IT=116;116 
(709.284578, 705.277478) 	 4931 	 IT=116;116 
(709.284578, 705.277478) 	 4946 	 IT=116;116 
(709.284578, 705.277478) 	 4963 	 IT=101;116 
(709.284578, 705.277478) 	 4980 	 IT=80;116 
(709.284578, 705.277478) 	 4996 	 IT=71;116 
(709.284578, 705.277478) 	 5013 	 IT=83;116 
(709.284578, 705.277478) 	 5030 	 IT=89;116 
(709.284578, 705.277478) 	 5047 	 IT=108;116 
(709.284578, 705.277478) 	 5063 	 IT=116;116 
(709.284578, 705.277478) 	 5079 	 IT=116;116 
(709.284578, 705.277478) 	 5096 	 IT=116;116 
(709.284578, 705.277478) 	 5113 	 IT=116;116 
(709.284578, 705.277478) 	 5130 	 IT=116;116 
(709.284578, 705.277478) 	 5148 	 IT=116;116 
(709.284578, 705.277478) 	 5164 	 IT=116;116 
(709.284578, 705.277478) 	 5182 	 IT=116;116 
(709.284578, 705.277478) 	 5234 	 IT=116;116 
(709.284578, 705.277478) 	 5252 	 IT=116;116 
(564.739087, 559.734952) 	 5184 	 IT=101;116 
(564.739087, 559.734952) 	 5202 	 IT=53;116 
(564.739087, 559.734952) 	 5220 	 IT=51;116 
(564.739087, 559.734952) 	 5236 	 IT=55;116 
(564.739087, 559.734952) 	 5254 	 IT=63;116 
(564.739087, 559.734952) 	 5271 	 IT=100;116 
(564.739087, 559.734952) 	 5288 	 IT=116;116 
(564.739087, 559.734952) 	 5305 	 IT=116;116 
(564.739087, 559.734952) 	 5323 	 IT=116;116 
(564.739087, 559.734952) 	 5339 	 IT=116;116 
(564.739087, 559.734952) 	 5354 	 IT=116;116 
(564.739087, 559.734952) 	 5370 	 IT=116;116 
(564.739087, 559.734952) 	 5387 	 IT=116;116 
(367.931562, 365.429495) 	 5080 	 IT=108;116 
(367.931562, 365.429495) 	 5097 	 IT=25;116 
(367.931562, 365.429495) 	 5114 	 IT=12;116 
(367.931562, 365.429495) 	 5131 	 IT=6.5;116 
(367.931562, 365.429495) 	 5149 	 IT=7.9;116 
(367.931562, 365.429495) 	 5165 	 IT=12;116 
(367.931562, 365.429495) 	 5183 	 IT=21;116 
(367.931562, 365.429495) 	 5201 	 IT=33;116 
(367.931562, 365.429495) 	 5219 	 IT=38;116 
(367.931562, 365.429495) 	 5235 	 IT=54;116 
(367.931562, 365.429495) 	 5253 	 IT=54;116 
(367.931562, 365.429495) 	 5270 	 IT=70;116 
(367.931562, 365.429495) 	 5287 	 IT=93;116 
(367.931562, 365.429495) 	 5304 	 IT=82;116 
(367.931562, 365.429495) 	 5322 	 IT=97;116 
(367.931562, 365.429495) 	 5338 	 IT=116;116 
(367.931562, 365.429495) 	 5353 	 IT=116;116 
(367.931562, 365.429495) 	 5369 	 IT=109;116 
(367.931562, 365.429495) 	 5386 	 IT=116;116 
(367.931562, 365.429495) 	 5401 	 IT=116;116 
(367.931562, 365.429495) 	 5416 	 IT=116;116 
(367.931562, 365.429495) 	 5431 	 IT=116;116 
(367.931562, 365.429495) 	 5446 	 IT=116;116 
(367.931562, 365.429495) 	 5461 	 IT=116;116 
(367.931562, 365.429495) 	 5476 	 IT=116;116 
(367.931562, 365.429495) 	 5491 	 IT=116;116 
(367.931562, 365.429495) 	 5506 	 IT=116;116 
(367.931562, 365.429495) 	 5521 	 IT=116;116 
(367.931562, 365.429495) 	 5536 	 IT=116;116 
(595.2942, 592.622684) 	 4948 	 IT=116;116 
(595.2942, 592.622684) 	 4964 	 IT=74;116 
(595.2942, 592.622684) 	 4982 	 IT=26;116 
(595.2942, 592.622684) 	 4998 	 IT=21;116 
(595.2942, 592.622684) 	 5015 	 IT=26;116 
(595.2942, 592.622684) 	 5031 	 IT=45;116 
(595.2942, 592.622684) 	 5049 	 IT=116;116 
(595.2942, 592.622684) 	 5064 	 IT=116;116 
(595.2942, 592.622684) 	 5081 	 IT=116;116 
(595.2942, 592.622684) 	 5098 	 IT=116;116 
(595.2942, 592.622684) 	 5115 	 IT=116;116 
(595.2942, 592.622684) 	 5132 	 IT=116;116 
(595.2942, 592.622684) 	 5166 	 IT=116;116 
(462.209402, 459.538003) 	 5167 	 IT=116;116 
(462.209402, 459.538003) 	 5185 	 IT=116;116 
(462.209402, 459.538003) 	 5203 	 IT=116;116 
(462.209402, 459.538003) 	 5237 	 IT=116;116 
(462.209402, 459.538003) 	 5255 	 IT=73;116 
(462.209402, 459.538003) 	 5272 	 IT=33;116 
(462.209402, 459.538003) 	 5289 	 IT=16;116 
(462.209402, 459.538003) 	 5306 	 IT=11;116 
(462.209402, 459.538003) 	 5324 	 IT=8.6;116 
(462.209402, 459.538003) 	 5340 	 IT=9.5;116 
(462.209402, 459.538003) 	 5355 	 IT=11;116 
(462.209402, 459.538003) 	 5371 	 IT=15;116 
(462.209402, 459.538003) 	 5388 	 IT=19;116 
(462.209402, 459.538003) 	 5402 	 IT=23;116 
(462.209402, 459.538003) 	 5417 	 IT=27;116 
(462.209402, 459.538003) 	 5432 	 IT=26;116 
(462.209402, 459.538003) 	 5447 	 IT=29;116 
(462.209402, 459.538003) 	 5462 	 IT=35;116 
(462.209402, 459.538003) 	 5477 	 IT=34;116 
(462.209402, 459.538003) 	 5492 	 IT=38;116 
(462.209402, 459.538003) 	 5507 	 IT=35;116 
(462.209402, 459.538003) 	 5522 	 IT=40;116 
(462.209402, 459.538003) 	 5537 	 IT=43;116 
(462.209402, 459.538003) 	 5551 	 IT=48;116 
(462.209402, 459.538003) 	 5565 	 IT=62;116 
(462.209402, 459.538003) 	 5579 	 IT=56;116 
(462.209402, 459.538003) 	 5593 	 IT=68;116 
(462.209402, 459.538003) 	 5607 	 IT=79;116 
(462.209402, 459.538003) 	 5621 	 IT=74;116 
(462.209402, 459.538003) 	 5635 	 IT=85;116 
(462.209402, 459.538003) 	 5649 	 IT=82;116 
(462.209402, 459.538003) 	 5663 	 IT=93;116 
(462.209402, 459.538003) 	 5677 	 IT=90;116 
(462.209402, 459.538003) 	 5691 	 IT=96;116 
(462.209402, 459.538003) 	 5705 	 IT=94;116 
(462.209402, 459.538003) 	 5719 	 IT=107;116 
(462.209402, 459.538003) 	 5733 	 IT=113;116 
(462.209402, 459.538003) 	 5747 	 IT=116;116 
(462.209402, 459.538003) 	 5761 	 IT=116;116 
(462.209402, 459.538003) 	 5775 	 IT=116;116 
(462.209402, 459.538003) 	 5789 	 IT=116;116 
(462.209402, 459.538003) 	 5803 	 IT=116;116 
(462.209402, 459.538003) 	 5817 	 IT=116;116 
(462.209402, 459.538003) 	 5831 	 IT=116;116 
(462.209402, 459.538003) 	 5845 	 IT=116;116 
(462.209402, 459.538003) 	 5859 	 IT=116;116 
(462.209402, 459.538003) 	 5873 	 IT=116;116 
(462.209402, 459.538003) 	 5887 	 IT=116;116 
(462.209402, 459.538003) 	 5901 	 IT=116;116 
(462.209402, 459.538003) 	 5915 	 IT=116;116 
(462.209402, 459.538003) 	 5929 	 IT=116;116 
(462.209402, 459.538003) 	 5943 	 IT=116;116 
(462.209402, 459.538003) 	 5957 	 IT=116;116 
(462.209402, 459.538003) 	 5971 	 IT=116;116 
(462.209402, 459.538003) 	 5985 	 IT=116;116 
(462.209402, 459.538003) 	 5999 	 IT=116;116 
(462.209402, 459.538003) 	 6026 	 IT=116;116 
(462.209402, 459.538003) 	 6040 	 IT=116;116 
(462.209402, 459.538003) 	 6054 	 IT=116;116 
(462.209402, 459.538003) 	 6068 	 IT=116;116 
(462.209402, 459.538003) 	 6095 	 IT=116;116 
(462.209402, 459.538003) 	 6122 	 IT=116;116 
(462.209402, 459.538003) 	 6149 	 IT=116;116 
(462.209402, 459.538003) 	 6163 	 IT=116;116 
(462.209402, 459.538003) 	 6178 	 IT=116;116 
(462.209402, 459.538003) 	 6191 	 IT=116;116 
(570.73347, 565.729336) 	 5181 	 IT=116;116 
(570.73347, 565.729336) 	 5200 	 IT=116;73 
(595.2941, 592.622684) 	 4947 	 IT=116;116 
(595.2941, 592.622684) 	 4981 	 IT=26;116 
(595.2941, 592.622684) 	 4997 	 IT=21;116 
(595.2941, 592.622684) 	 5014 	 IT=26;116 
(595.2941, 592.622684) 	 5048 	 IT=116;116 
(714.8341, 710.827038) 	 6333 	 IT=116;116 
(714.8341, 710.827038) 	 6347 	 IT=116;116 
(714.8341, 710.827038) 	 6361 	 IT=116;116 
(714.8341, 710.827038) 	 6375 	 IT=116;116 
(714.8341, 710.827038) 	 6389 	 IT=116;116 
(714.8341, 710.827038) 	 6403 	 IT=116;116 
(714.8341, 710.827038) 	 6417 	 IT=116;116 
(714.8341, 710.827038) 	 6431 	 IT=116;116 
(714.8341, 710.827038) 	 6445 	 IT=116;116 
(714.8341, 710.827038) 	 6459 	 IT=116;116 
(714.8341, 710.827038) 	 6473 	 IT=116;116 
(714.8341, 710.827038) 	 6487 	 IT=112;116 
(714.8341, 710.827038) 	 6502 	 IT=104;116 
(714.8341, 710.827038) 	 6517 	 IT=83;116 
(714.8341, 710.827038) 	 6532 	 IT=78;116 
(714.8341, 710.827038) 	 6547 	 IT=63;116 
(714.8341, 710.827038) 	 6562 	 IT=63;116 
(714.8341, 710.827038) 	 6577 	 IT=57;116 
(714.8341, 710.827038) 	 6592 	 IT=64;116 
(714.8341, 710.827038) 	 6607 	 IT=57;116 
(714.8341, 710.827038) 	 6622 	 IT=62;116 
(714.8341, 710.827038) 	 6637 	 IT=54;116 
(714.8341, 710.827038) 	 6652 	 IT=60;116 
(714.8341, 710.827038) 	 6667 	 IT=62;116 
(714.8341, 710.827038) 	 6682 	 IT=64;116 
(714.8341, 710.827038) 	 6697 	 IT=65;116 
(714.8341, 710.827038) 	 6713 	 IT=63;116 
(714.8341, 710.827038) 	 6729 	 IT=66;116 
(714.8341, 710.827038) 	 6745 	 IT=71;116 
(714.8341, 710.827038) 	 6761 	 IT=75;116 
(714.8341, 710.827038) 	 6777 	 IT=75;116 
(714.8341, 710.827038) 	 6793 	 IT=82;116 
(714.8341, 710.827038) 	 6809 	 IT=87;116 
(714.8341, 710.827038) 	 6825 	 IT=107;116 
(714.8341, 710.827038) 	 6841 	 IT=112;116 
(714.8341, 710.827038) 	 6857 	 IT=116;116 
(714.8341, 710.827038) 	 6873 	 IT=116;116 
(714.8341, 710.827038) 	 6889 	 IT=116;116 
(714.8341, 710.827038) 	 6905 	 IT=116;116 
(714.8341, 710.827038) 	 6921 	 IT=116;116 
(714.8341, 710.827038) 	 6937 	 IT=116;116 
(714.8341, 710.827038) 	 6953 	 IT=116;116 
(714.8341, 710.827038) 	 6969 	 IT=116;116 
(714.8341, 710.827038) 	 6985 	 IT=116;116 
(714.8341, 710.827038) 	 7002 	 IT=116;116 
(714.8341, 710.827038) 	 7019 	 IT=116;116 
(714.8341, 710.827038) 	 7037 	 IT=116;116 
(714.8341, 710.827038) 	 7055 	 IT=116;116 
(714.8341, 710.827038) 	 7073 	 IT=116;116 
(714.8341, 710.827038) 	 7091 	 IT=116;116 
(714.8341, 710.827038) 	 7109 	 IT=116;116 
(714.8341, 710.827038) 	 7126 	 IT=116;116 
(714.8341, 710.827038) 	 7143 	 IT=116;116 
(714.8341, 710.827038) 	 7160 	 IT=116;116 
(714.8341, 710.827038) 	 7177 	 IT=116;116 
(714.8341, 710.827038) 	 7194 	 IT=116;116 
(714.8341, 710.827038) 	 7211 	 IT=116;116 
(714.8341, 710.827038) 	 7228 	 IT=116;116 
(714.8341, 710.827038) 	 7244 	 IT=116;116 
(714.8341, 710.827038) 	 7260 	 IT=116;116 
(714.8341, 710.827038) 	 7276 	 IT=116;116 
(604.777246, 600.770146) 	 6999 	 IT=116;116 
(604.777246, 600.770146) 	 7016 	 IT=116;116 
(604.777246, 600.770146) 	 7033 	 IT=56;116 
(604.777246, 600.770146) 	 7051 	 IT=43;116 
(604.777246, 600.770146) 	 7069 	 IT=43;116 
(604.777246, 600.770146) 	 7087 	 IT=44;116 
(604.777246, 600.770146) 	 7105 	 IT=50;116 
(408.211336, 404.204237) 	 6501 	 IT=116;116 
(408.211336, 404.204237) 	 6516 	 IT=116;116 
(408.211336, 404.204237) 	 6531 	 IT=116;116 
(408.211336, 404.204237) 	 6546 	 IT=116;116 
(408.211336, 404.204237) 	 6561 	 IT=116;116 
(408.211336, 404.204237) 	 6576 	 IT=116;116 
(408.211336, 404.204237) 	 6591 	 IT=116;116 
