(434.881286, 432.209886) 	 4375 	 IT=116;116 
(434.881286, 432.209886) 	 4389 	 IT=49;116 
(434.881286, 432.209886) 	 4403 	 IT=22;116 
(434.881286, 432.209886) 	 4417 	 IT=18;116 
(434.881286, 432.209886) 	 4431 	 IT=20;116 
(434.881286, 432.209886) 	 4445 	 IT=30;116 
(434.881286, 432.209886) 	 4459 	 IT=43;116 
(434.881286, 432.209886) 	 4473 	 IT=52;116 
(434.881286, 432.209886) 	 4487 	 IT=65;116 
(434.881286, 432.209886) 	 4501 	 IT=83;116 
(434.881286, 432.209886) 	 4515 	 IT=97;116 
(434.881286, 432.209886) 	 4529 	 IT=116;116 
(434.881286, 432.209886) 	 4543 	 IT=116;116 
(434.881286, 432.209886) 	 4557 	 IT=116;116 
(434.881286, 432.209886) 	 4571 	 IT=116;116 
(434.881286, 432.209886) 	 4585 	 IT=116;116 
(434.881286, 432.209886) 	 4599 	 IT=116;116 
(434.881286, 432.209886) 	 4613 	 IT=116;116 
(434.881286, 432.209886) 	 4627 	 IT=116;116 
(434.881286, 432.209886) 	 4641 	 IT=116;116 
(434.881286, 432.209886) 	 4655 	 IT=116;116 
(560.267902, 556.260803) 	 4695 	 IT=116;116 
(560.267902, 556.260803) 	 4709 	 IT=116;116 
(560.267902, 556.260803) 	 4723 	 IT=116;116 
(560.267902, 556.260803) 	 4737 	 IT=100;116 
(560.267902, 556.260803) 	 4751 	 IT=57;116 
(560.267902, 556.260803) 	 4765 	 IT=43;116 
(560.267902, 556.260803) 	 4779 	 IT=34;116 
(560.267902, 556.260803) 	 4794 	 IT=32;116 
(560.267902, 556.260803) 	 4809 	 IT=42;116 
(560.267902, 556.260803) 	 4824 	 IT=63;116 
(560.267902, 556.260803) 	 4839 	 IT=93;116 
(560.267902, 556.260803) 	 4856 	 IT=116;116 
(560.267902, 556.260803) 	 4873 	 IT=116;116 
(560.267902, 556.260803) 	 4890 	 IT=116;116 
(560.267902, 556.260803) 	 4906 	 IT=116;116 
(560.267902, 556.260803) 	 4922 	 IT=116;116 
(560.267902, 556.260803) 	 4939 	 IT=116;116 
