(424.722068, 420.714969) 	 3480 	 IT=116;116 
(424.722068, 420.714969) 	 3494 	 IT=116;116 
(424.722068, 420.714969) 	 3508 	 IT=116;116 
(424.722068, 420.714969) 	 3522 	 IT=116;116 
(424.722068, 420.714969) 	 3536 	 IT=116;116 
(434.881286, 432.209886) 	 4488 	 IT=69;116 
(434.881286, 432.209886) 	 4502 	 IT=41;116 
(434.881286, 432.209886) 	 4516 	 IT=19;116 
(434.881286, 432.209886) 	 4530 	 IT=11;116 
(434.881286, 432.209886) 	 4544 	 IT=8.4;116 
(434.881286, 432.209886) 	 4558 	 IT=6.5;116 
(434.881286, 432.209886) 	 4572 	 IT=10;116 
(434.881286, 432.209886) 	 4586 	 IT=16;116 
(434.881286, 432.209886) 	 4600 	 IT=25;116 
(434.881286, 432.209886) 	 4614 	 IT=39;116 
(434.881286, 432.209886) 	 4628 	 IT=56;116 
(434.881286, 432.209886) 	 4642 	 IT=65;116 
(434.881286, 432.209886) 	 4656 	 IT=82;116 
(434.881286, 432.209886) 	 4670 	 IT=94;116 
(434.881286, 432.209886) 	 4684 	 IT=116;116 
(434.881286, 432.209886) 	 4698 	 IT=116;116 
(434.881286, 432.209886) 	 4712 	 IT=116;116 
(434.881286, 432.209886) 	 4726 	 IT=116;116 
(434.881286, 432.209886) 	 4740 	 IT=116;116 
(434.881286, 432.209886) 	 4754 	 IT=116;116 
(434.881286, 432.209886) 	 4781 	 IT=116;116 
(434.881286, 432.209886) 	 4795 	 IT=116;116 
(434.881286, 432.209886) 	 4810 	 IT=116;116 
(560.267902, 556.260803) 	 4796 	 IT=116;116 
(560.267902, 556.260803) 	 4811 	 IT=116;116 
(560.267902, 556.260803) 	 4826 	 IT=81;116 
(560.267902, 556.260803) 	 4839 	 IT=32;116 
(560.267902, 556.260803) 	 4854 	 IT=20;116 
(560.267902, 556.260803) 	 4869 	 IT=14;116 
(560.267902, 556.260803) 	 4884 	 IT=14;116 
(560.267902, 556.260803) 	 4899 	 IT=18;116 
(560.267902, 556.260803) 	 4914 	 IT=24;116 
(560.267902, 556.260803) 	 4932 	 IT=47;116 
(560.267902, 556.260803) 	 4949 	 IT=78;116 
(560.267902, 556.260803) 	 4965 	 IT=84;116 
(560.267902, 556.260803) 	 4980 	 IT=112;116 
(560.267902, 556.260803) 	 4997 	 IT=116;116 
(560.267902, 556.260803) 	 5013 	 IT=116;116 
(560.267902, 556.260803) 	 5030 	 IT=116;116 
(560.267902, 556.260803) 	 5047 	 IT=116;116 
(560.267902, 556.260803) 	 5063 	 IT=116;116 
(560.267902, 556.260803) 	 5079 	 IT=116;116 
(560.267902, 556.260803) 	 5096 	 IT=116;116 
(560.267902, 556.260803) 	 5111 	 IT=116;116 
(560.267902, 556.260803) 	 5126 	 IT=116;116 
(560.267902, 556.260803) 	 5143 	 IT=116;116 
(560.267902, 556.260803) 	 5160 	 IT=116;116 
(560.267902, 556.260803) 	 5178 	 IT=116;116 
(560.267902, 556.260803) 	 5213 	 IT=116;116 
(560.267902, 556.260803) 	 5230 	 IT=116;116 
(560.267902, 556.260803) 	 5247 	 IT=116;116 
(560.267902, 556.260803) 	 5266 	 IT=116;116 
(560.267902, 556.260803) 	 5282 	 IT=116;116 
(560.267902, 556.260803) 	 5317 	 IT=116;116 
(709.284578, 705.277478) 	 4853 	 IT=116;116 
(709.284578, 705.277478) 	 4868 	 IT=116;116 
(709.284578, 705.277478) 	 4883 	 IT=116;116 
(709.284578, 705.277478) 	 4898 	 IT=116;116 
(709.284578, 705.277478) 	 4913 	 IT=116;116 
(709.284578, 705.277478) 	 4929 	 IT=70;116 
(709.284578, 705.277478) 	 4946 	 IT=72;116 
(709.284578, 705.277478) 	 4963 	 IT=54;116 
(709.284578, 705.277478) 	 4978 	 IT=48;116 
(709.284578, 705.277478) 	 4994 	 IT=54;116 
(709.284578, 705.277478) 	 5011 	 IT=88;116 
