(434.881286, 432.209886) 	 4421 	 IT=116;116 
(560.267902, 556.260803) 	 4851 	 IT=116;116 
(560.267902, 556.260803) 	 4865 	 IT=116;116 
(560.267902, 556.260803) 	 4879 	 IT=116;116 
(560.267902, 556.260803) 	 4893 	 IT=116;116 
(560.267902, 556.260803) 	 4907 	 IT=82;116 
(560.267902, 556.260803) 	 4921 	 IT=45;116 
(560.267902, 556.260803) 	 4936 	 IT=33;116 
(560.267902, 556.260803) 	 4951 	 IT=28;116 
(560.267902, 556.260803) 	 4966 	 IT=29;116 
(560.267902, 556.260803) 	 4981 	 IT=36;116 
(560.267902, 556.260803) 	 4996 	 IT=47;116 
(560.267902, 556.260803) 	 5011 	 IT=68;116 
(560.267902, 556.260803) 	 5027 	 IT=81;116 
(560.267902, 556.260803) 	 5043 	 IT=116;116 
(560.267902, 556.260803) 	 5060 	 IT=116;116 
(560.267902, 556.260803) 	 5076 	 IT=116;116 
(560.267902, 556.260803) 	 5093 	 IT=116;116 
(560.267902, 556.260803) 	 5111 	 IT=116;116 
(560.267902, 556.260803) 	 5127 	 IT=116;116 
(560.267902, 556.260803) 	 5143 	 IT=116;116 
(560.267902, 556.260803) 	 5160 	 IT=116;116 
(560.267902, 556.260803) 	 5177 	 IT=116;116 
(560.267902, 556.260803) 	 5195 	 IT=116;116 
(560.267902, 556.260803) 	 5212 	 IT=116;116 
(560.267902, 556.260803) 	 5230 	 IT=116;116 
(560.267902, 556.260803) 	 5250 	 IT=116;116 
(560.267902, 556.260803) 	 5266 	 IT=116;116 
(560.267902, 556.260803) 	 5284 	 IT=116;116 
(560.267902, 556.260803) 	 5302 	 IT=116;116 
(560.267902, 556.260803) 	 5321 	 IT=116;116 
(709.284578, 705.277478) 	 4935 	 IT=116;116 
(709.284578, 705.277478) 	 4950 	 IT=116;116 
(709.284578, 705.277478) 	 4965 	 IT=116;116 
(709.284578, 705.277478) 	 4980 	 IT=116;116 
(709.284578, 705.277478) 	 4995 	 IT=116;116 
(709.284578, 705.277478) 	 5010 	 IT=79;116 
(709.284578, 705.277478) 	 5025 	 IT=84;116 
(709.284578, 705.277478) 	 5041 	 IT=82;116 
(709.284578, 705.277478) 	 5057 	 IT=69;116 
(709.284578, 705.277478) 	 5074 	 IT=72;116 
(709.284578, 705.277478) 	 5091 	 IT=71;116 
(709.284578, 705.277478) 	 5108 	 IT=105;116 
(709.284578, 705.277478) 	 5124 	 IT=106;116 
(709.284578, 705.277478) 	 5140 	 IT=116;116 
(709.284578, 705.277478) 	 5157 	 IT=116;116 
(709.284578, 705.277478) 	 5174 	 IT=116;116 
(709.284578, 705.277478) 	 5192 	 IT=116;116 
(709.284578, 705.277478) 	 5208 	 IT=116;116 
(709.284578, 705.277478) 	 5227 	 IT=116;116 
(709.284578, 705.277478) 	 5246 	 IT=116;116 
(709.284578, 705.277478) 	 5280 	 IT=116;116 
(709.284578, 705.277478) 	 5298 	 IT=116;116 
(709.284578, 705.277478) 	 5317 	 IT=116;116 
(709.284578, 705.277478) 	 5366 	 IT=116;116 
(709.284578, 705.277478) 	 5383 	 IT=116;116 
(564.739087, 559.734952) 	 5248 	 IT=116;116 
(564.739087, 559.734952) 	 5264 	 IT=102;116 
(564.739087, 559.734952) 	 5282 	 IT=71;116 
(564.739087, 559.734952) 	 5300 	 IT=73;116 
(564.739087, 559.734952) 	 5319 	 IT=103;116 
(564.739087, 559.734952) 	 5336 	 IT=116;116 
(564.739087, 559.734952) 	 5351 	 IT=116;116 
(564.739087, 559.734952) 	 5368 	 IT=116;116 
(564.739087, 559.734952) 	 5385 	 IT=116;116 
(564.739087, 559.734952) 	 5401 	 IT=116;116 
(564.739087, 559.734952) 	 5417 	 IT=116;116 
(367.931562, 365.429495) 	 5109 	 IT=113;116 
(367.931562, 365.429495) 	 5125 	 IT=45;116 
(367.931562, 365.429495) 	 5141 	 IT=26;116 
(367.931562, 365.429495) 	 5158 	 IT=7.9;116 
(367.931562, 365.429495) 	 5175 	 IT=4.9;116 
(367.931562, 365.429495) 	 5193 	 IT=8.1;116 
(367.931562, 365.429495) 	 5209 	 IT=14;116 
(367.931562, 365.429495) 	 5228 	 IT=24;116 
(367.931562, 365.429495) 	 5247 	 IT=37;116 
(367.931562, 365.429495) 	 5263 	 IT=48;116 
(367.931562, 365.429495) 	 5281 	 IT=57;116 
(367.931562, 365.429495) 	 5299 	 IT=67;116 
(367.931562, 365.429495) 	 5318 	 IT=78;116 
(367.931562, 365.429495) 	 5335 	 IT=99;116 
(367.931562, 365.429495) 	 5350 	 IT=104;116 
(367.931562, 365.429495) 	 5367 	 IT=116;116 
(367.931562, 365.429495) 	 5384 	 IT=116;116 
(367.931562, 365.429495) 	 5400 	 IT=116;116 
(367.931562, 365.429495) 	 5416 	 IT=116;116 
(367.931562, 365.429495) 	 5433 	 IT=116;116 
(367.931562, 365.429495) 	 5448 	 IT=116;116 
(367.931562, 365.429495) 	 5462 	 IT=116;116 
(367.931562, 365.429495) 	 5477 	 IT=116;116 
(367.931562, 365.429495) 	 5492 	 IT=116;116 
(367.931562, 365.429495) 	 5507 	 IT=116;116 
(367.931562, 365.429495) 	 5536 	 IT=116;116 
(367.931562, 365.429495) 	 5565 	 IT=116;116 
(595.2942, 592.622684) 	 5026 	 IT=116;116 
(595.2942, 592.622684) 	 5042 	 IT=116;116 
(595.2942, 592.622684) 	 5059 	 IT=26;116 
(595.2942, 592.622684) 	 5075 	 IT=15;116 
(595.2942, 592.622684) 	 5092 	 IT=26;116 
(595.2942, 592.622684) 	 5110 	 IT=58;116 
(595.2942, 592.622684) 	 5126 	 IT=95;116 
(595.2942, 592.622684) 	 5142 	 IT=116;116 
(595.2942, 592.622684) 	 5159 	 IT=116;116 
(595.2942, 592.622684) 	 5176 	 IT=116;116 
(595.2942, 592.622684) 	 5194 	 IT=116;116 
(595.2942, 592.622684) 	 5210 	 IT=116;116 
(462.209402, 459.538003) 	 5211 	 IT=116;116 
(462.209402, 459.538003) 	 5229 	 IT=116;116 
(462.209402, 459.538003) 	 5249 	 IT=116;116 
(462.209402, 459.538003) 	 5265 	 IT=116;116 
(462.209402, 459.538003) 	 5283 	 IT=116;116 
(462.209402, 459.538003) 	 5301 	 IT=116;116 
(462.209402, 459.538003) 	 5320 	 IT=94;116 
(462.209402, 459.538003) 	 5337 	 IT=43;116 
(462.209402, 459.538003) 	 5352 	 IT=23;116 
(462.209402, 459.538003) 	 5369 	 IT=13;116 
(462.209402, 459.538003) 	 5386 	 IT=9.1;116 
(462.209402, 459.538003) 	 5402 	 IT=9;116 
(462.209402, 459.538003) 	 5418 	 IT=10;116 
(462.209402, 459.538003) 	 5434 	 IT=13;116 
(462.209402, 459.538003) 	 5449 	 IT=14;116 
(462.209402, 459.538003) 	 5463 	 IT=15;116 
(462.209402, 459.538003) 	 5478 	 IT=19;116 
(462.209402, 459.538003) 	 5493 	 IT=22;116 
(462.209402, 459.538003) 	 5508 	 IT=23;116 
(462.209402, 459.538003) 	 5522 	 IT=26;116 
(462.209402, 459.538003) 	 5537 	 IT=29;116 
(462.209402, 459.538003) 	 5551 	 IT=29;116 
(462.209402, 459.538003) 	 5566 	 IT=33;116 
(462.209402, 459.538003) 	 5580 	 IT=35;116 
(462.209402, 459.538003) 	 5594 	 IT=39;116 
(462.209402, 459.538003) 	 5608 	 IT=41;116 
(462.209402, 459.538003) 	 5622 	 IT=41;116 
(462.209402, 459.538003) 	 5636 	 IT=45;116 
(462.209402, 459.538003) 	 5650 	 IT=48;116 
(462.209402, 459.538003) 	 5664 	 IT=51;116 
(462.209402, 459.538003) 	 5678 	 IT=55;116 
(462.209402, 459.538003) 	 5692 	 IT=62;116 
(462.209402, 459.538003) 	 5706 	 IT=71;116 
(462.209402, 459.538003) 	 5720 	 IT=83;116 
(462.209402, 459.538003) 	 5734 	 IT=75;116 
(462.209402, 459.538003) 	 5748 	 IT=83;116 
(462.209402, 459.538003) 	 5762 	 IT=87;116 
(462.209402, 459.538003) 	 5776 	 IT=85;116 
(462.209402, 459.538003) 	 5790 	 IT=92;116 
(462.209402, 459.538003) 	 5804 	 IT=88;116 
(462.209402, 459.538003) 	 5818 	 IT=90;116 
(462.209402, 459.538003) 	 5832 	 IT=111;116 
