(434.881286, 432.209886) 	 4440 	 IT=67;116 
(434.881286, 432.209886) 	 4454 	 IT=29;116 
(434.881286, 432.209886) 	 4468 	 IT=20;116 
(434.881286, 432.209886) 	 4482 	 IT=16;116 
(434.881286, 432.209886) 	 4496 	 IT=23;116 
(434.881286, 432.209886) 	 4510 	 IT=32;116 
(434.881286, 432.209886) 	 4524 	 IT=49;116 
(434.881286, 432.209886) 	 4538 	 IT=57;116 
(434.881286, 432.209886) 	 4552 	 IT=62;116 
(434.881286, 432.209886) 	 4566 	 IT=88;116 
(434.881286, 432.209886) 	 4580 	 IT=103;116 
(434.881286, 432.209886) 	 4594 	 IT=116;116 
(434.881286, 432.209886) 	 4608 	 IT=116;116 
(434.881286, 432.209886) 	 4622 	 IT=116;116 
(434.881286, 432.209886) 	 4636 	 IT=116;116 
(434.881286, 432.209886) 	 4650 	 IT=116;116 
(434.881286, 432.209886) 	 4664 	 IT=116;116 
(434.881286, 432.209886) 	 4678 	 IT=116;116 
(434.881286, 432.209886) 	 4692 	 IT=116;116 
(434.881286, 432.209886) 	 4706 	 IT=116;116 
(434.881286, 432.209886) 	 4720 	 IT=116;116 
(434.881286, 432.209886) 	 4734 	 IT=116;116 
(560.267902, 556.260803) 	 4775 	 IT=116;116 
(560.267902, 556.260803) 	 4788 	 IT=116;116 
(560.267902, 556.260803) 	 4802 	 IT=116;116 
(560.267902, 556.260803) 	 4816 	 IT=87;116 
(560.267902, 556.260803) 	 4830 	 IT=55;116 
(560.267902, 556.260803) 	 4845 	 IT=41;116 
(560.267902, 556.260803) 	 4860 	 IT=29;116 
(560.267902, 556.260803) 	 4875 	 IT=28;116 
(560.267902, 556.260803) 	 4890 	 IT=33;116 
(560.267902, 556.260803) 	 4905 	 IT=44;116 
(560.267902, 556.260803) 	 4920 	 IT=66;116 
(560.267902, 556.260803) 	 4935 	 IT=81;116 
(560.267902, 556.260803) 	 4952 	 IT=106;116 
(560.267902, 556.260803) 	 4970 	 IT=116;116 
(560.267902, 556.260803) 	 4986 	 IT=116;116 
(560.267902, 556.260803) 	 5003 	 IT=116;116 
(560.267902, 556.260803) 	 5020 	 IT=116;116 
(560.267902, 556.260803) 	 5037 	 IT=116;116 
(560.267902, 556.260803) 	 5054 	 IT=116;116 
(560.267902, 556.260803) 	 5072 	 IT=116;116 
(560.267902, 556.260803) 	 5088 	 IT=116;116 
(560.267902, 556.260803) 	 5105 	 IT=116;116 
(560.267902, 556.260803) 	 5122 	 IT=116;116 
(560.267902, 556.260803) 	 5139 	 IT=116;116 
(560.267902, 556.260803) 	 5157 	 IT=116;116 
(560.267902, 556.260803) 	 5176 	 IT=116;116 
(560.267902, 556.260803) 	 5192 	 IT=116;116 
(560.267902, 556.260803) 	 5208 	 IT=116;116 
(560.267902, 556.260803) 	 5225 	 IT=116;116 
(560.267902, 556.260803) 	 5242 	 IT=116;116 
(709.284578, 705.277478) 	 4844 	 IT=116;116 
(709.284578, 705.277478) 	 4859 	 IT=116;116 
(709.284578, 705.277478) 	 4874 	 IT=116;116 
(709.284578, 705.277478) 	 4889 	 IT=116;116 
(709.284578, 705.277478) 	 4904 	 IT=116;116 
(709.284578, 705.277478) 	 4919 	 IT=116;116 
(709.284578, 705.277478) 	 4934 	 IT=116;116 
(709.284578, 705.277478) 	 4949 	 IT=95;116 
(709.284578, 705.277478) 	 4967 	 IT=70;116 
(709.284578, 705.277478) 	 4983 	 IT=77;116 
(709.284578, 705.277478) 	 5000 	 IT=84;116 
(709.284578, 705.277478) 	 5017 	 IT=103;116 
(709.284578, 705.277478) 	 5034 	 IT=116;116 
(709.284578, 705.277478) 	 5051 	 IT=116;116 
(709.284578, 705.277478) 	 5069 	 IT=116;116 
(709.284578, 705.277478) 	 5085 	 IT=116;116 
(709.284578, 705.277478) 	 5102 	 IT=116;116 
(709.284578, 705.277478) 	 5119 	 IT=116;116 
(709.284578, 705.277478) 	 5137 	 IT=116;116 
(709.284578, 705.277478) 	 5155 	 IT=116;116 
(709.284578, 705.277478) 	 5172 	 IT=116;116 
(564.739087, 559.734952) 	 5174 	 IT=116;116 
(564.739087, 559.734952) 	 5191 	 IT=73;116 
(564.739087, 559.734952) 	 5207 	 IT=58;116 
(564.739087, 559.734952) 	 5223 	 IT=64;116 
(564.739087, 559.734952) 	 5240 	 IT=97;116 
(564.739087, 559.734952) 	 5257 	 IT=116;116 
